"","Name","Title","Business","Address","Picture","Website","Profile"
"1","Sam"," Owner"," Cajun Heros","228 South Street","https://southstreet.com/wp-content/uploads/2020/06/1-Sam-Cajun-Heros-1.jpg","http://cajun-heroes.com/","It all started when two friends met at the University of New Orleans in the late 1990s. I’m from Philadelphia and my new best friend was a New Orleans native. We both shared the same passion for food, dining, and great times! Cajun Heroes’ flavors are inspired by the Captain Bill Seafood Market in New Orleans’ Lower Ninth Ward. I chose to put my New Orleans inspired restaurant in the heart of South Street simple because I loved the neighborhood. "
"2","Lois M. Arnold"," Owner"," Hairs 2 U Wig Bank","760 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/06/2-Lois-M.-Arnold-Hairs-2-U-Wig-Bank.jpg","https://www.hairs2u.org/","In 1987, my aunt Vita Holmes went through chemotherapy. At that time, they did not tell us that she would lose her hair.  As a cosmetologist and her hairstylist, I had the task of creating a wig for her. That’s how I got into wig making. In 2010, I retired from my salon and opened up Hairs 2 U Wig Bank."
"3","Nguyen Ta"," Owner"," The Barber’s Den","115 South Street","https://southstreet.com/wp-content/uploads/2020/06/3-Nguyen-Ta-The-Barber’s-Den.jpg","http://thebarbersden.info/","When I was in college, I received some very bad advice from an advisor that pretty much made me give up on continuing my education.  After that, I had a talk with my brother-in-law and he told me how much he liked cutting hair. I gave it a shot to see if I could learn how to do it. I did and it quickly became my passion!  Before I opened my shop, I ate at a few restaurants in the area and thought to myself that this would be the perfect location for my business. The people seemed very nice and so far I’ve been right"
"4","Bopa"," Store Manager"," Beadworks","619 E Passyunk Avenue","https://southstreet.com/wp-content/uploads/2020/06/4-Bopa-Beadworks-1.jpg","https://beadworksphiladelphia.com/","Beadworks began in 1983 as a mail-order business then evolved into a full-service bead store with jewelry making classes, designer consultations, and in-store shopping. We’ve been in the South Street Headhouse District since 1992 because we feel like this area is the best representation of the creative and artistic community in Philly!"
"5","Larnell Baldwin"," Owner"," Baldwin Fine Custom Tailoring","751 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/06/5-Larnell-Baldwin-Baldwins-.jpg","https://www.larnellbaldwin.com/","I started learning the trade of tailoring in high school. After a few years of teaching sewing classes, I decided to open my own business in fine tailoring originally called 'Sartorial'. Eventually, I moved down to Fabric Row in order to attract more clients which led me into the leather and fabric industries. Today, I have two storefronts on 4th Street where I sell fabric, offer tailoring services, and teach sewing classes. "
"6","Richard Chodak"," Owner"," Bluebond Guitars","511 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/07/7-Richard-Bluebond-Guitar-1-e1593697544569.jpg","https://www.bluebondguitars.com/","I was in my mid-twenties and loved building and repairing guitars. In 1993 I started working for Dale Bluebond. He had a repair shop at 617 S. 4th Street.  Dale and I grew up together in Cherry Hill, New Jersey.  He was a master luthier (someone who builds and repairs string instruments) and I apprenticed under him for a year. In August of 1994, Dale was suddenly killed in a car accident. I spoke to his parents about continuing on with the shop. I didn't have any money, but they began renting the building to me and gave their blessings to keep the Bluebond name going. I am proud to say that over the ups and downs of the last 25 years, Bluebond Guitars is still an important part of the Philadelphia music scene. "
"7","Kerryann and Dwayne"," Owners"," La Elite Couture Boutique (Dwayne pictured)","838 South Street","https://southstreet.com/wp-content/uploads/2020/07/8-Dwayne-Laelite-Boutique.jpg","https://www.laelitecouture.com/","Back in 2009 Kerryann went to the doctor for a simple check-up and was prescribed a medication that caused her to gain a lot of weight. Her self esteem was extremely low and she was tired of not being able to find clothes that would fit her. After doing some research, we found brands that would make women of all shapes and sizes feel good and look beautiful! Our mission is to make sure everyone that comes in our boutique leaves feeling beautiful and confident. Our first location was in the Abington area but most of our customers were coming from the city. We decided to leave and chose a location on South Street!"
"8","Roz Bratt"," Owner"," Homemade Goodies by Roz","510 S. 5th Street","https://southstreet.com/wp-content/uploads/2020/07/9-Roz-.jpg","https://homemadegoodiesbyroz.weebly.com/","I was a bank teller and two of my customers were opening a small restaurant. In the window, there was a sign that said homemade and Drakes cakes on the counter so I asked them if they wanted a homemade cake made by me. They asked if I made Jewish Apple Cake and of course I said yes! I dropped the cake off at 8 a.m. and an hour later they called to tell me the cake was almost gone. After that, the rest is history. "
"9","Francesca Rivetti"," Owner"," Follicle Studio","741 S. 4th Street","https://southstreet.com/wp-content/uploads/2020/07/10-Francesca-Rivetti-Follicle.jpg","http://folliclestudio.com/","I have always been passionate about hair and opening a business was always in the cards. Follicle just celebrated 15 years in business and eight of those years have been on Fabric Row! The lease on my shop in another neighborhood was up for renewal and then the crash of 2008 hit. I saw the corner space at 4th and Fitzwater and I knew that was my next salon. I love the community of Fabric Row and the South Street District. "
"10","Pete Leontaras"," Owner"," Xochitl Restaurant","408 S. 2nd Street","https://southstreet.com/wp-content/uploads/2020/07/6-Xochitl-2.jpg","https://www.xochitlphilly.com/","My parents immigrated to the United States back in the 1970s and just like most immigrants, they were in the food business. My father ended up opening a restaurant in Philadelphia when I was a little boy so naturally, I grew up around the business.  When I got a little older I started to work at the restaurant. I did venture off into a different business for a period of time, but my passion for the restaurant industry drew me back in. That’s when I decided to open Xochitl in the beautiful, historic Society Hill section of the South Street Headhouse District. "
